,,,,,,,,,,,,,,,
# --- MATCH --- meta,field,value,,,,,,,,,,,,,
meta,id,M002,,,,,,,,,,,,,
meta,status,played,,,,,,,,,,,,,
meta,competition,Chinese Super League,,,,,,,,,,,,,
meta,round,Matchday 4,,,,,,,,,,,,,
meta,date,2015-04-03,,,,,,,,,,,,,
meta,kickoff,19:30,,,,,,,,,,,,,
meta,venue,Yuexiushan Stadium,,,,,,,,,,,,,
meta,city,Guangzhou,,,,,,,,,,,,,
meta,country,CHN,,,,,,,,,,,,,
meta,neutral,no,,,,,,,,,,,,,
meta,attendance,7678,,,,,,,,,,,,,
meta,score,4-0,,,,,,,,,,,,,
meta,aggregate,,,,,,,,,,,,,,
meta,decision,,,,,,,,,,,,,,
meta,referee,Chen Gang,,,,,,,,,,,,,
meta,referee_country,CHN,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- TEAMS --- team,side,name,country,coach,coach_country,formation,squad_value,pitch_fill,pitch_number,gk_fill,stat_color,,,,
team,home,Guangzhou R&F,CHN,Cosmin Contra,ROU,4-1-4-1,7.8,#3D64CC,#FFFFFF,,#3D64CC,,,,
team,away,Guizhou Renhe,CHN,Zhu Jiong,CHN,4-4-2,5.3,#C0492B,#FFFFFF,,#C0492B,,,,
,,,,,,,,,,,,,,,
# --- PLAYERS -- player,side,role,number,name,kit_name,country,id,captain,goalkeeper,on,off,yellow,double yellow,red,value
player,home,start,27,Liu Dianzuo,Liu,CHN,19900626,,yes,,,,,,0.1
player,home,start,11,Jiang Zhipeng,Jiang,CHN,19890306,,,,78,,,,0.5
player,home,start,4,Jin Yangyang,Jin,CHN,19930203,,,,,,,,0.2
player,home,start,5,Zhang Yaokun,Zhang,CHN,19810417,yes,,,,,,,0.1
player,home,start,20,Tang Miao,Tang,CHN,19901016,,,,,,,,0.3
player,home,start,8,Park Jong-woo,Park,KOR,19890310,,,,56,36,,,0.8
player,home,start,23,Lu Lin,Lu,CHN,19850203,,,,,,,,0.3
player,home,start,10,Míchel,,ESP,19880729,,,,,,,,1.4
player,home,start,6,Wang Song,Wang,CHN,19831012,,,,,,,,0.3
player,home,start,7,Jiang Ning,Jiang,CHN,19860901,,,,,,,,0.3
player,home,start,9,Abderrazak Hamdallah,,MAR,19901217,,,,70,,,,2.5
player,home,sub,33,Li Yan,,CHN,19840719,,,56,,,,,0.1
player,home,sub,13,Ye Chugui,,CHN,19940908,,,70,,,,,0.1
player,home,sub,18,Zhang Yuan,,CHN,19891208,,,78,,,,,0.3
player,home,bench,1,Cheng Yuelei,,CHN,19871028,,yes,,,,,,0.2
player,home,bench,3,Yu Yang,,CHN,19890806,,,,,,,,0.2
player,home,bench,16,Feng Zhuoyi,,CHN,19890618,,,,,,,,0.1
player,home,bench,21,Chang Feiya,,CHN,19930203,,,,,,,,0.3
player,away,start,29,Sheng Peng,Sheng,CHN,,,yes,,,,,,0.1
player,away,start,19,Liu Tianqi,Liu,CHN,19890117,,,,,,,,0.1
player,away,start,27,Park Joo-sung,Park,KOR,19840220,,,,,,,,0.2
player,away,start,3,Zhang Chenglin,Zhang,CHN,19870120,,,,,,,,0.3
player,away,start,5,Liu Yang,Liu,CHN,19910209,,,,,,,,0.1
player,away,start,10,Magnus Eriksson,,SWE,19900408,,,,86,,,,0.8
player,away,start,15,Chen Jie,Chen,CHN,19891015,yes,,,,,,,0.2
player,away,start,33,Zhu Baojie,Zhu,CHN,19890811,,,,64,,,,0.2
player,away,start,30,Feng Renliang,Feng,CHN,19880512,,,,,,,,0.2
player,away,start,17,Hyuri,,BRA,19910926,,,,46,,,,0.9
player,away,start,18,Shen Tianfeng,Shen,CHN,19940318,,,,,,,,0.1
player,away,sub,7,Krzysztof Mączyński,,POL,19870523,,,46,,,,,0.9
player,away,sub,6,Fan Yunlong,,CHN,19890315,,,64,,,,,0.1
player,away,sub,11,Ricardo Santos,,BRA,19870213,,,86,,,,,0.5
player,away,bench,1,Xu Jiamin,,CHN,19940411,,yes,,,,,,0.1
player,away,bench,4,Yu Rui,,CHN,19920811,,,,,,,,0.1
player,away,bench,8,Xavier Chen,,TPE,19831005,,,,,,,,0.7
player,away,bench,14,Yang Yihu,,CHN,19910916,,,,,,,,0.1
,,,,,,,,,,,,,,,
# --- GOALS --- goal,minute,side,scorer,type,assist,,,,,,,,,,
goal,25,home,Jiang Ning,goal,Tang Miao,,,,,,,,,,
goal,35,home,Jin Yangyang,goal,Abderrazak Hamdallah,,,,,,,,,,
goal,38,home,Abderrazak Hamdallah,goal,Lu Lin,,,,,,,,,,
goal,82,home,Jin Yangyang,goal,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- MATCH STATS --- stat,name,home,away,,,,,,,,,,,,
stat,Possession,54,46,,,,,,,,,,,,
stat,Expected goals (xG),,,,,,,,,,,,,,
stat,Shots,15,10,,,,,,,,,,,,
stat,Shots on target,8,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- WEATHER --- weather,field,value,,,,,,,,,,,,,
weather,condition,Clear,,,,,,,,,,,,,
weather,temp_c,26,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- MATCHDAY --- personal,field,value,,,,,,,,,,,,,
personal,ticket_price,50,,,,,,,,,,,,,
personal,ticket_currency,CNY,,,,,,,,,,,,,
personal,ticket_price_usd,8,,,,,,,,,,,,,
personal,section,Section 3,,,,,,,,,,,,,
personal,row,7,,,,,,,,,,,,,
personal,seat,21,,,,,,,,,,,,,
personal,seating,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
