,,,,,,,,,,,,,,,
# --- MATCH --- meta,field,value,,,,,,,,,,,,,
meta,id,M006,,,,,,,,,,,,,
meta,status,played,,,,,,,,,,,,,
meta,competition,FIFA World Cup Qualification - AFC,,,,,,,,,,,,,
meta,round,Second Round Group C - Matchday 3,,,,,,,,,,,,,
meta,date,2015-09-03,,,,,,,,,,,,,
meta,kickoff,19:35,,,,,,,,,,,,,
meta,venue,Bao'an Stadium,,,,,,,,,,,,,
meta,city,Shenzhen,,,,,,,,,,,,,
meta,country,CHN,,,,,,,,,,,,,
meta,neutral,no,,,,,,,,,,,,,
meta,attendance,26173,,,,,,,,,,,,,
meta,score,0-0,,,,,,,,,,,,,
meta,aggregate,,,,,,,,,,,,,,
meta,decision,,,,,,,,,,,,,,
meta,referee,Strebre Delovski,,,,,,,,,,,,,
meta,referee_country,AUS,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- TEAMS --- team,side,name,country,coach,coach_country,formation,squad_value,pitch_fill,pitch_number,gk_fill,stat_color,,,,
team,home,China PR,,Alan Perrin,FRA,4-2-3-1,12.8,#DC2C2F,#FFFFFF,,#DC2C2F,,,,
team,away,Hong Kong,,Kim Pan-gon,KOR,4-2-3-1,3.7,#F2F2F2,#000000,,#000000,,,,
,,,,,,,,,,,,,,,
# --- PLAYERS -- player,side,role,number,name,kit_name,country,id,captain,goalkeeper,on,off,yellow,double yellow,red,value
player,home,start,23,Wang Dalei,Wang,CHN,,,yes,,,,,,0.8
player,home,start,4,Jiang Zhipeng,Jiang,CHN,,,,,,,,,0.6
player,home,start,3,Mei Fang,Mei,CHN,,,,,,,,,0.5
player,home,start,2,Ren Hang,Ren,CHN,,,,,,,,,0.5
player,home,start,5,Zhang Linpeng,Zhang,CHN,,,,,,,,,1
player,home,start,15,Wu Xi,Wu,CHN,,,,,58,,,,0.9
player,home,start,10,Zheng Zhi,Zheng,CHN,,yes,,,,,,,0.5
player,home,start,20,Yu Hanchao,Yu,CHN,,,,,69,,,,0.6
player,home,start,7,Wu Lei,Wu,CHN,,,,,,,,,0.9
player,home,start,19,Zheng Long,Zheng,CHN,,,,,62,,,,0.3
player,home,start,22,Yu Dabao,Yu,CHN,,,,,,,,,0.7
player,home,sub,11,Wang Yongpo,,CHN,,,,58,,,,,0.4
player,home,sub,9,Yang Xu,,CHN,,,,62,,,,,0.6
player,home,sub,16,Sun Ke,,CHN,,,,69,,,,,0.9
player,home,bench,1,Zeng Cheng,,CHN,,,yes,,,,,,0.5
player,home,bench,6,Yu Yang,,CHN,,,,,,,,,0.2
player,home,bench,8,Cai Huikang,,CHN,,,,,,,,,0.5
player,home,bench,12,Yan Junling,,CHN,,,yes,,,,,,0.4
player,home,bench,13,Liu Jianye,,CHN,,,,,,,,,0.3
player,home,bench,14,Zou Zheng,,CHN,,,,,,,,,0.3
player,home,bench,17,Zhang Chengdong,,CHN,,,,,,,,,0.6
player,home,bench,18,Gao Lin,,CHN,,,,,,,,,0.9
player,home,bench,21,Bi Jinhao,,CHN,,,,,,,,,0.2
player,away,start,1,Yapp Hung Fai,Yapp,HKG,,,yes,,,57,,,0.3
player,away,start,2,Lee Chi Ho,Lee,HKG,,,,,,,,,0.2
player,away,start,3,Festus Baise,,HKG,,,,,,,,,0.1
player,away,start,15,Chan Wai Ho,Chan,HKG,,yes,,,5,,,,0.1
player,away,start,14,Jack Sealy,,HKG,,,,,,,,,0.2
player,away,start,6,Huang Yang,Huang,HKG,,,,,,,,,0.2
player,away,start,4,Bai He,Bai,HKG,,,,,,,,,0.1
player,away,start,11,Godfred Karikari,,HKG,,,,,82,79,,,0.1
player,away,start,10,Lam Ka Wai,Lam,HKG,,,,,72,,,,0.2
player,away,start,16,Leung Chun Pong,Leung,HKG,,,,,,,,,0.2
player,away,start,22,Jaimes McKee,,HKG,,,,,,,,,0.1
player,away,sub,5,Jean-Jacques Kilama,,HKG,,,,5,,,,,0.5
player,away,sub,7,Chan Siu Ki,,HKG,,,,72,,,,,0.2
player,away,sub,8,Xu Deshuai,,HKG,,,,82,,,,,0.3
player,away,bench,9,Christian Annan,,HKG,,,,,,,,,0.1
player,away,bench,12,Lo Kwan Yee,,HKG,,,,,,,,,0.2
player,away,bench,13,Cheung Kin Fung,,HKG,,,,,,,,,0.1
player,away,bench,17,Tan Chun Lok,,HKG,,,,,,,,,0.1
player,away,bench,18,Tsang Man Fai,,HKG,,,yes,,,,,,0.1
player,away,bench,19,Wang Zhenpeng,,HKG,,,yes,,,,,,0.2
player,away,bench,20,Cheng King Ho,,HKG,,,,,,,,,0.1
player,away,bench,21,Kwok Kin Pong,,HKG,,,,,,,,,0.2
player,away,bench,23,Ju Yingzhi,,HKG,,,,,,,,,0.2
,,,,,,,,,,,,,,,
# --- GOALS --- goal,minute,side,scorer,type,assist,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- MATCH STATS --- stat,name,home,away,,,,,,,,,,,,
stat,Possession,59,41,,,,,,,,,,,,
stat,Expected goals (xG),,,,,,,,,,,,,,
stat,Shots,41,2,,,,,,,,,,,,
stat,Shots on target,15,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- WEATHER --- weather,field,value,,,,,,,,,,,,,
weather,condition,Partly cloudy,,,,,,,,,,,,,
weather,temp_c,26,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- MATCHDAY --- personal,field,value,,,,,,,,,,,,,
personal,ticket_price,480,,,,,,,,,,,,,
personal,ticket_currency,CNY,,,,,,,,,,,,,
